#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.DefaultNamespaceHandlerResolver] - Loaded NamespaceHandler mappings: {http://www.springframework.org/schema/p=org.springframework.beans.factory.xml.SimplePropertyNamespaceHandler, http://www.springframework.org/schema/util=org.springframework.beans.factory.xml.UtilNamespaceHandler, http://www.springframework.org/schema/jee=org.springframework.ejb.config.JeeNamespaceHandler, http://www.springframework.org/schema/aop=org.springframework.aop.config.AopNamespaceHandler, http://www.springframework.org/schema/jdbc=org.springframework.jdbc.config.JdbcNamespaceHandler, http://www.springframework.org/schema/cache=org.springframework.cache.config.CacheNamespaceHandler, http://www.springframework.org/schema/c=org.springframework.beans.factory.xml.SimpleConstructorNamespaceHandler, http://www.springframework.org/schema/tx=org.springframework.transaction.config.TxNamespaceHandler, http://www.springframework.org/schema/task=org.springframework.scheduling.config.TaskNamespaceHandler, http://www.springframework.org/schema/lang=org.springframework.scripting.config.LangNamespaceHandler, http://www.springframework.org/schema/context=org.springframework.context.config.ContextNamespaceHandler}
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader] - Imported 9 bean definitions from relative location [Spring-Datasource.xml]
#sql[INFO][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.XmlBeanDefinitionReader] - Loading XML bean definitions from class path resource [Spring-Bean.xml]
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.DefaultDocumentLoader] - Using JAXP provider [com.sun.org.apache.xerces.internal.jaxp.DocumentBuilderFactoryImpl]
#sql[DEBUG][main][2019-06-24 11:44:23][org.springframework.beans.factory.xml.PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/beans/spring-beans-2.5.xsd] in classpath: org/springframework/beans/factory/xml/spring-beans-2.5.xsd
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.beans.factory.xml.PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/context/spring-context-2.5.xsd] in classpath: org/springframework/context/config/spring-context-2.5.xsd
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.beans.factory.xml.PluggableSchemaResolver] - Found XML schema [http://www.springframework.org/schema/tool/spring-tool-2.5.xsd] in classpath: org/springframework/beans/factory/xml/spring-tool-2.5.xsd
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.beans.factory.xml.DefaultBeanDefinitionDocumentReader] - Loading bean definitions
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.core.env.MutablePropertySources] - Adding [systemProperties] PropertySource with lowest search precedence
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.core.env.MutablePropertySources] - Adding [systemEnvironment] PropertySource with lowest search precedence
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.core.env.AbstractEnvironment] - Initialized StandardEnvironment with PropertySources [systemProperties,systemEnvironment]
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.core.io.support.PathMatchingResourcePatternResolver] - Looking for matching resources in directory tree [C:\ideaProject\homeword1\target\classes\com\aiwan]
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.core.io.support.PathMatchingResourcePatternResolver] - Searching directory [C:\ideaProject\homeword1\target\classes\com\aiwan] for files matching pattern [C:/ideaProject/homeword1/target/classes/com/aiwan/**/*.class]
#sql[DEBUG][main][2019-06-24 11:44:24][org.springframework.core.io.support.PathMatchingResourcePatternResolver] - Searching directory [C:\ideaProject\homeword1\target\classes\com\aiwan\client] for files matching pattern [C:/ideaProject/homeword1/target/classes/com/aiwan/**/*.class]
